Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
28,0.403578519821167,3.683586359024048,78.67232513427734,-0.04989288937455774,1.2673661481079377,-89.29490825247336,-2.1470418,4.7343793,14.317487,6.7871304,-6.1195865,-4.4725213,-2.361475,-5.294028,-6.853898,8.020453,-6.9326577,4.9350686,0.93057066,-4.651573,10.729009,-3.3566072,17.811604,-30.297392,56.79379,20.134895,-7.433253,-5.3305635,-6.794667,-15.587365,40.146484,54.10561,-19.15836,-8.647069,4.279291
29,0.3529600501060486,3.7846531867980957,78.68948364257812,-0.11405538793110614,1.3326574051223545,-89.41585043778684,-2.292363,4.8806176,14.39189,6.7859793,-5.999724,-4.46643,-2.5647075,-5.132411,-6.74143,8.014765,-6.7665577,4.803459,0.9975069,-4.9172287,10.977215,-3.4784403,18.105673,-30.271086,56.64228,20.067724,-7.490447,-5.3638735,-6.6680975,-15.565766,39.42653,53.48162,-19.044699,-8.775192,4.3158445
30,0.285468190908432,3.900801658630371,78.70356750488281,-0.17971370520026084,1.3784832670540623,-89.56565676932989,-2.4097676,5.03938,14.49106,6.786327,-5.881612,-4.458772,-2.7587965,-4.9576015,-6.5997314,8.019784,-6.6058426,4.6635637,1.0858078,-5.1947393,11.245842,-3.587438,18.427738,-30.244507,56.46472,19.938847,-7.56094,-5.4206862,-6.5367227,-15.551311,38.70336,52.824814,-18.830994,-8.937432,4.38541
31,0.22023171186447144,4.007742881774902,78.71810913085938,-0.24380762962871172,1.4227469731694489,-89.74256622298674,-2.5167408,5.207194,14.614891,6.786143,-5.768415,-4.4527297,-2.9529366,-4.7742896,-6.434306,8.017331,-6.4408355,4.5339427,1.190239,-5.4836607,11.508441,-3.669157,18.775652,-30.186665,56.2593,19.81641,-7.634434,-5.480408,-6.417952,-15.547179,37.995914,52.19089,-18.603558,-9.116793,4.4565525
32,0.15972615778446198,4.1064863204956055,78.73471069335938,-0.30707508548982915,1.4829521129634582,-89.94487794185488,-2.6320543,5.384363,14.762181,6.786388,-5.6644654,-4.4519024,-3.1527927,-4.5826025,-6.25209,7.9824443,-6.2584343,4.433355,1.3029842,-5.779082,11.738635,-3.7108607,19.146091,-30.066381,56.02647,19.766771,-7.701118,-5.522006,-6.329584,-15.556747,37.32756,51.634335,-18.445887,-9.296349,4.497181
33,0.07930301874876022,4.216201305389404,78.74060821533203,-0.3613737655730287,1.5675577050057843,-90.17900787841835,-2.7753253,5.566465,14.939542,6.8101363,-5.583256,-4.455058,-3.561891,-4.4069667,-6.027252,8.322648,-6.268521,4.3474636,1.4281051,-6.0903754,11.930211,-3.7077792,19.536495,-29.869125,55.760376,19.816668,-7.759984,-5.5427394,-6.275425,-15.581305,36.71034,51.16195,-18.36108,-9.482418,4.491942
34,0.0014179478166624904,4.316257476806641,78.74372863769531,-0.40839149029665034,1.6645403287834777,-90.44306804462887,-2.9543629,5.7606707,15.142257,6.9020257,-5.546179,-4.461564,-4.0906653,-4.235595,-5.768569,8.875758,-6.3872147,4.272906,1.564671,-6.416064,12.098339,-3.6653857,19.94663,-29.609074,55.46334,19.93007,-7.8158107,-5.5523825,-6.2470136,-15.621335,36.133675,50.747143,-18.309372,-9.680568,4.459842
35,-0.07994330674409866,4.403258323669434,78.74739074707031,-0.4529469120102946,1.7647577338620384,-90.7244035040709,-3.182443,5.974512,15.355634,7.1137576,-5.5793505,-4.473894,-4.594711,-4.061025,-5.506662,9.369056,-6.479633,4.2484202,1.6996386,-6.746872,12.244486,-3.5881026,20.377287,-29.301428,55.149494,20.075842,-7.8679976,-5.5492053,-6.240584,-15.6794,35.585217,50.392994,-18.312563,-9.872667,4.420011
36,-0.1614276021718979,4.480719566345215,78.74885559082031,-0.49107690376000723,1.8598026074693337,-91.0112915571909,-3.3650682,6.1770425,15.579574,7.259893,-5.5828147,-4.4930105,-5.025097,-3.89621,-5.2612805,9.73122,-6.5206103,4.314134,1.8212132,-7.0818486,12.369727,-3.4809544,20.830172,-28.962671,54.833004,20.221827,-7.9159694,-5.531501,-6.250518,-15.758921,35.051903,50.09943,-18.391304,-10.040406,4.391633
37,-0.25186318159103394,4.558669090270996,78.74861145019531,-0.5114329326842392,1.947946006973202,-91.30803288661852,-3.487605,6.3525257,15.823549,7.318111,-5.546331,-4.5170755,-5.3668475,-3.7439988,-5.017248,9.937821,-6.49665,4.5389495,1.9280688,-7.435859,12.472008,-3.3368995,21.307043,-28.598684,54.51279,20.360289,-7.9538198,-5.490086,-6.2778807,-15.861242,34.54724,49.868793,-18.561293,-10.185024,4.3765235
38,-0.3354376256465912,4.632840156555176,78.74859619140625,-0.5197773965689382,2.0334756168781105,-91.61857238736923,-3.561817,6.510276,16.08853,7.3017826,-5.4772286,-4.5464716,-5.6478195,-3.598389,-4.770672,10.031195,-6.4250464,4.8823147,2.0263064,-7.8042045,12.552821,-3.1545322,21.807932,-28.200598,54.180645,20.506128,-7.9837294,-5.429217,-6.321604,-15.986477,34.072067,49.695694,-18.80744,-10.314271,4.3654566
39,-0.42772650718688965,4.7001824378967285,78.75733947753906,-0.5367304793193873,2.1170810211222215,-91.93029099311612,-3.6093416,6.6748657,16.354254,7.244948,-5.3895946,-4.5859203,-5.899808,-3.462346,-4.55594,10.072634,-6.339103,5.220415,2.116395,-8.1588545,12.616336,-2.9424958,22.330809,-27.758327,53.837017,20.667456,-8.016996,-5.36729,-6.373068,-16.138802,33.592632,49.570698,-19.106892,-10.419938,4.3616853
40,-0.5333216786384583,4.754566192626953,78.76445770263672,-0.5817202809363179,2.1996087021163184,-92.23083384551231,-3.6559086,6.871555,16.600142,7.1915092,-5.3041716,-4.6400604,-6.155771,-3.339935,-4.4068203,10.123203,-6.271396,5.429725,2.201174,-8.471364,12.667274,-2.7147763,22.872297,-27.26686,53.486687,20.849463,-8.065096,-5.3224335,-6.420338,-16.325184,33.07409,49.479218,-19.433727,-10.4938,4.3692126
41,-0.6216413378715515,4.803885459899902,78.78549194335938,-0.664424532922677,2.278874735805803,-92.52675268595303,-3.6942785,7.1120973,16.828363,7.133514,-5.216099,-4.7137547,-6.4327817,-3.2148428,-4.3083014,10.21594,-6.2327204,5.4468613,2.2916093,-8.72885,12.709298,-2.471579,23.42879,-26.727283,53.125134,21.069717,-8.137902,-5.304909,-6.450294,-16.549902,32.494953,49.406418,-19.822372,-10.523914,4.3963695
